,device_brand,5g,internal_memory,ram,days_used,price
2334,11,0,64.0,0.25,884,19902
2335,11,0,512.0,0.25,848,19406
2336,11,0,16.0,4.0,855,25048
2337,11,0,32.0,4.0,988,22568
2338,11,0,16.0,4.0,876,20708
2339,11,0,16.0,4.0,981,22506
2340,11,0,16.0,4.0,924,23932
2341,11,0,16.0,4.0,1014,22878
2342,11,0,16.0,4.0,768,25854
2343,11,0,32.0,4.0,834,26784
2344,11,0,16.0,4.0,681,27962
2345,11,0,16.0,4.0,1041,25048
2346,11,0,16.0,4.0,655,25172
2347,11,0,16.0,4.0,976,23064
2348,11,0,64.0,4.0,630,32984
2349,11,0,64.0,4.0,565,26908
2350,1,0,64.0,4.0,422,29946
2351,1,0,128.0,4.0,574,30938
2352,1,0,16.0,4.0,416,26846
2353,1,0,64.0,4.0,562,28582
2354,1,0,128.0,4.0,674,28892
2355,0,0,1024.0,4.0,291,34472
2356,0,0,128.0,4.0,525,34410
2357,0,0,256.0,4.0,505,29326
2358,0,0,512.0,4.0,428,37014
2359,0,0,32.0,4.0,526,24118
2360,0,0,128.0,4.0,363,28458
2361,0,0,64.0,4.0,302,28396
2362,0,0,32.0,4.0,190,26226
2363,0,0,128.0,4.0,291,31620
2364,0,0,128.0,4.0,298,32488
2365,0,0,128.0,4.0,339,30132
2366,0,0,128.0,4.0,377,29884
2367,0,0,64.0,4.0,355,30256
2368,0,0,64.0,4.0,356,29016
2369,0,0,32.0,4.0,220,28768
2370,0,0,32.0,4.0,333,27404
2371,0,0,128.0,4.0,252,33170
2372,0,0,32.0,4.0,431,30566
2373,0,0,32.0,4.0,452,29822
2374,0,0,32.0,4.0,542,28892
2375,0,0,64.0,4.0,487,29946
2376,0,0,32.0,4.0,453,27714
2377,0,0,64.0,4.0,496,30318
2378,0,0,64.0,4.0,645,30752
2379,0,0,128.0,4.0,385,31744
